Cell_Type,Cell_Type_Full,Cell_Type_Alternate,Marker,Alternate_Name,Source,Species,Tissue_Type,Details,Notes
B,B_Cells,NA,FCRLA,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763448,NA
B,B_Cells,NA,GGA2,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763449,NA
B,B_Cells,NA,GNG7,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763450,NA
B,B_Cells,NA,GUCD1,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763451,NA
B,B_Cells,NA,HLA-DMB,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763452,NA
B,B_Cells,NA,HLA-DOA,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763453,NA
B,B_Cells,NA,HLA-DOB,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763454,NA
B,B_Cells,NA,HLA-DQA1,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B,B_Cells,NA,HLA-DQA1,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763455,NA
B,B_Cells,NA,HLA-DQB1,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763456,NA
B,B_Cells,NA,HVCN1,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763457,NA
B,B_Cells,NA,IGHD,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763458,NA
B,B_Cells,NA,IGHD,NA,Mary_Tomayko,Human,Skin,NA,NA
B,B_Cells,NA,IGHG1,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763459,NA
B,B_Cells,NA,IGHM,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B,B_Cells,NA,IGHM,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763460,NA
B,B_Cells,NA,IGKC,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763461,NA
B,B_Cells,NA,IGLC2,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763462,NA
B,B_Cells,NA,IGLC3,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763463,NA
B,B_Cells,NA,IGLL1,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763464,NA
B,B_Cells,NA,LRMP,IRAG2,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763465,NA
B,B_Cells,NA,JCHAIN,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763466,NA
B,B_Cells,NA,LINC00926,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763467,NA
B,B_Cells,NA,LTB,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763468,NA
B,B_Cells,NA,LY6D,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763469,NA
B,B_Cells,NA,MBD4,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763470,NA
B,B_Cells,NA,MEF2C,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B,B_Cells,NA,MS4A1,CD20,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B,B_Cells,NA,MS4A1,CD20,CellTypist,Human,"Blood, Eye, Intestine, Kidney, Liver, Lung, Trachea",CL:0000236,B lymphocytes with diverse cell surface immunoglobulin receptors recognising specific antigenic epitopes and mediating humoral immunity
B,B_Cells,NA,MS4A1,CD20,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763471,NA
B,B_Cells,NA,MS4A1,CD20,HUSCH,Human,Blood,husch.comp-genomics.org/#/info_tissue/Blood,NA
B,B_Cells,NA,MS4A1,CD20,Ira_Fleming,Human,Skin,NA,NA
B,B_Cells,NA,MS4A1,CD20,Literature,Human,Skin,doi.org/10.1101/689273,NA
B,B_Cells,NA,MZB1,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763472,NA
B,B_Cells,NA,NIBAN3,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763473,NA
B,B_Cells,NA,ODC1,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763474,NA
B,B_Cells,NA,ORAI2,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763475,NA
B,B_Cells,NA,P2RX5,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763476,NA
B,B_Cells,NA,PARP1,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763477,NA
B,B_Cells,NA,PAX5,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763478,NA
B,B_Cells,NA,PLEKHF2,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763479,NA
B,B_Cells,NA,POU2AF1,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763480,NA
B,B_Cells,NA,POU2F2,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763481,NA
B,B_Cells,NA,PPM1K,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763482,NA
B,B_Cells,NA,QRSL1,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763483,NA
B,B_Cells,NA,RALGPS2,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B,B_Cells,NA,RALGPS2,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763484,NA
B,B_Cells,NA,RCSD1,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763485,NA
B,B_Cells,NA,SHMT2,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763486,NA
B,B_Cells,NA,SNX2,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763487,NA
B,B_Cells,NA,SPIB,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763488,NA
B,B_Cells,NA,ST6GAL1,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763489,NA
B,B_Cells,NA,SWAP70,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763490,NA
B,B_Cells,NA,TCF3,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763491,NA
B,B_Cells,NA,TCL1A,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763492,NA
B,B_Cells,NA,TCOF1,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763493,NA
B,B_Cells,NA,TIFA,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763494,NA
B,B_Cells,NA,TMEM156,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763495,NA
B,B_Cells,NA,TNFRSF13B,CD267,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763496,NA
B,B_Cells,NA,TNFRSF13C,CD268,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B,B_Cells,NA,TNFRSF13C,CD268,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763497,NA
B,B_Cells,NA,TNFRSF17,CD269,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763498,NA
B,B_Cells,NA,TP53INP1,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763499,NA
B,B_Cells,NA,TPD52,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763500,NA
B,B_Cells,NA,TXNDC11,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763501,NA
B,B_Cells,NA,VPREB1,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763502,NA
B,B_Cells,NA,VPREB3,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763503,NA
B_Aging,Age_Associated_B_Cells,Age-Associated_B_Cells,FCRL2,NA,CellTypist,Human,"Blood, Bone marrow, Intestine, Liver, Lung, Lung-draining lymph node, Mesenteric lymph node, Skeletal muscle, Spleen, Thymus",CL:0000787,CD11c+ T-bet+ memory B cells associated with autoimmunity and aging
B_Aging,Age_Associated_B_Cells,Age-Associated_B_Cells,ITGAX,CD11c,CellTypist,Human,"Blood, Bone marrow, Intestine, Liver, Lung, Lung-draining lymph node, Mesenteric lymph node, Skeletal muscle, Spleen, Thymus",CL:0000787,CD11c+ T-bet+ memory B cells associated with autoimmunity and aging
B_Aging,Age_Associated_B_Cells,Age-Associated_B_Cells,TBX21,NA,CellTypist,Human,"Blood, Bone marrow, Intestine, Liver, Lung, Lung-draining lymph node, Mesenteric lymph node, Skeletal muscle, Spleen, Thymus",CL:0000787,CD11c+ T-bet+ memory B cells associated with autoimmunity and aging
B_Cycling,Cycling_B_Cells,NA,CD19,NA,CellTypist,Human,Intestine,CL:0000236,proliferating B lymphocytes
B_Cycling,Cycling_B_Cells,NA,MKI67,Ki-67,CellTypist,Human,Intestine,CL:0000236,proliferating B lymphocytes
B_Cycling,Cycling_B_Cells,NA,TOP2A,NA,CellTypist,Human,Intestine,CL:0000236,proliferating B lymphocytes
B_Follicular,Follicular_B_Cells,NA,CD22,NA,CellTypist,Human,Intestine,CL:0000843,resting mature B lymphocytes found in the primary and secondary lymphoid follicles and participating in T cell-dependent immune responses
B_Follicular,Follicular_B_Cells,NA,CXCR5,NA,CellTypist,Human,Intestine,CL:0000843,resting mature B lymphocytes found in the primary and secondary lymphoid follicles and participating in T cell-dependent immune responses
B_Follicular,Follicular_B_Cells,NA,TNFRSF13B,CD267,CellTypist,Human,Intestine,CL:0000843,resting mature B lymphocytes found in the primary and secondary lymphoid follicles and participating in T cell-dependent immune responses
B_GC,Germinal_Center_B_Cells,Proliferative_Germinal_Center_B_Cells,AICDA,NA,CellTypist,Human,"Intestine, Lung-draining lymph node, Mesenteric lymph node, Spleen",CL:0000844,proliferating germinal center B cells
B_GC,Germinal_Center_B_Cells,NA,CD40,NA,CellTypist,Human,"Intestine, Lung-draining lymph node, Mesenteric lymph node, Spleen",CL:0000844,proliferating mature B cells that undergo somatic hypermutation and class-switch recombination in secondary lymphoid organs
B_GC,Germinal_Center_B_Cells,Proliferative_Germinal_Center_B_Cells,MKI67,Ki-67,CellTypist,Human,"Intestine, Lung-draining lymph node, Mesenteric lymph node, Spleen",CL:0000844,proliferating germinal center B cells
B_GC,Germinal_Center_B_Cells,NA,POU2AF1,NA,CellTypist,Human,"Intestine, Lung-draining lymph node, Mesenteric lymph node, Spleen",CL:0000844,proliferating mature B cells that undergo somatic hypermutation and class-switch recombination in secondary lymphoid organs
B_GC,Germinal_Center_B_Cells,NA,SUGCT,NA,CellTypist,Human,"Intestine, Lung-draining lymph node, Mesenteric lymph node, Spleen",CL:0000844,proliferating mature B cells that undergo somatic hypermutation and class-switch recombination in secondary lymphoid organs
B_GC,Germinal_Center_B_Cells,Proliferative_Germinal_Center_B_Cells,SUGCT,NA,CellTypist,Human,"Intestine, Lung-draining lymph node, Mesenteric lymph node, Spleen",CL:0000844,proliferating germinal center B cells
B_Immature,Immature_B_Cells,NA,MME,CD10,Literature,Human,PBMC,10.1002/cyto.b.20552,NA
B_Immature,Immature_B_Cells,NA,CR2,CD21,Literature,Human,PBMC,10.1002/cyto.b.20553,NA
B_Immature,Immature_B_Cells,NA,FCER2,CD23,Literature,Human,PBMC,10.1002/cyto.b.20554,NA
B_Immature,Immature_B_Cells,NA,CD5,NA,Literature,Human,PBMC,10.1002/cyto.b.20551,NA
B_Intermediate,Intermediate_B_Cells,NA,AIM2,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate,Intermediate_B_Cells,NA,BANK1,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate,Intermediate_B_Cells,NA,CD79A,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate,Intermediate_B_Cells,NA,CD79B,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate,Intermediate_B_Cells,NA,IGHD,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate,Intermediate_B_Cells,NA,IGHM,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate,Intermediate_B_Cells,NA,LINC01857,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate,Intermediate_B_Cells,NA,MS4A1,CD20,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate,Intermediate_B_Cells,NA,RALGPS2,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate,Intermediate_B_Cells,NA,TNFRSF13B,CD267,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Kappa,Intermediate_B_Cells_Kappa_Light_Chain,NA,BANK1,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Kappa,Intermediate_B_Cells_Kappa_Light_Chain,NA,CD24,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Kappa,Intermediate_B_Cells_Kappa_Light_Chain,NA,FCRL2,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Kappa,Intermediate_B_Cells_Kappa_Light_Chain,NA,IGHD,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Kappa,Intermediate_B_Cells_Kappa_Light_Chain,NA,IGHM,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Kappa,Intermediate_B_Cells_Kappa_Light_Chain,NA,IGKC,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Kappa,Intermediate_B_Cells_Kappa_Light_Chain,NA,LINC01857,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Kappa,Intermediate_B_Cells_Kappa_Light_Chain,NA,MARCKS,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Kappa,Intermediate_B_Cells_Kappa_Light_Chain,NA,MS4A1,CD20,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Kappa,Intermediate_B_Cells_Kappa_Light_Chain,NA,TNFRSF13B,CD267,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Lambda,Intermediate_B_Cells_Lambda_Light_Chain,NA,BANK1,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Lambda,Intermediate_B_Cells_Lambda_Light_Chain,NA,CD22,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Lambda,Intermediate_B_Cells_Lambda_Light_Chain,NA,CD79A,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Lambda,Intermediate_B_Cells_Lambda_Light_Chain,NA,IGHD,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Lambda,Intermediate_B_Cells_Lambda_Light_Chain,NA,IGHM,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Lambda,Intermediate_B_Cells_Lambda_Light_Chain,NA,IGLC2,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Lambda,Intermediate_B_Cells_Lambda_Light_Chain,NA,IGLC3,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Lambda,Intermediate_B_Cells_Lambda_Light_Chain,NA,MS4A1,CD20,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Lambda,Intermediate_B_Cells_Lambda_Light_Chain,NA,TNFRSF13B,CD267,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Intermediate_Lambda,Intermediate_B_Cells_Lambda_Light_Chain,NA,TNFRSF13C,CD268,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B_Lineage,Small_Pre-B_Cells,NA,CD24,NA,CellTypist,Human,Bone marrow,CL:0000817,non-proliferative B lymphocyte precursors derived from Pro-B cells and expressing membrane μ chains with surrogate light chains in their receptors
B_Lineage,Large_Pre-B_Cells,NA,CD24,NA,CellTypist,Human,"Bone marrow, Liver",CL:0000817,proliferative B lymphocyte precursors derived from Pro-B cells and expressing membrane μ chains with surrogate light chains in their receptors
B_Lineage,Pro-B_Cells,NA,DNTT,NA,CellTypist,Human,"Bone marrow, Liver",CL:0000826,early B lymphocyte progenitors undergoing D-J joining on the H chain chromosome and joining of a V segment to the rearranged D-J
B_Lineage,Pro-B_Cells,NA,IGLL1,NA,CellTypist,Human,"Bone marrow, Liver",CL:0000826,early B lymphocyte progenitors undergoing D-J joining on the H chain chromosome and joining of a V segment to the rearranged D-J
B_Lineage,Small_Pre-B_Cells,NA,IGLL5,IGL,CellTypist,Human,Bone marrow,CL:0000817,non-proliferative B lymphocyte precursors derived from Pro-B cells and expressing membrane μ chains with surrogate light chains in their receptors
B_Lineage,Pre-Pro-B_Cells,NA,IL7R,NA,CellTypist,Human,Liver,CL:0002046,"the earliest primitive B cell progenitors which express CD34 and SPINK2, have germline Ig genes and give rise to Pro-B cells"
B_Lineage,Large_Pre-B_Cells,NA,MKI67,Ki-67,CellTypist,Human,"Bone marrow, Liver",CL:0000817,proliferative B lymphocyte precursors derived from Pro-B cells and expressing membrane μ chains with surrogate light chains in their receptors
B_Lineage,Small_Pre-B_Cells,NA,MME,CD10,CellTypist,Human,Bone marrow,CL:0000817,non-proliferative B lymphocyte precursors derived from Pro-B cells and expressing membrane μ chains with surrogate light chains in their receptors
B_Lineage,Large_Pre-B_Cells,NA,MME,CD10,CellTypist,Human,"Bone marrow, Liver",CL:0000817,proliferative B lymphocyte precursors derived from Pro-B cells and expressing membrane μ chains with surrogate light chains in their receptors
B_Lineage,Pro-B_Cells,NA,MME,CD10,CellTypist,Human,"Bone marrow, Liver",CL:0000826,early B lymphocyte progenitors undergoing D-J joining on the H chain chromosome and joining of a V segment to the rearranged D-J
B_Lineage,Pre-Pro-B_Cells,NA,RAG1,NA,CellTypist,Human,Liver,CL:0002046,"the earliest primitive B cell progenitors which express CD34 and SPINK2, have germline Ig genes and give rise to Pro-B cells"
B_Lineage,Pre-Pro-B_Cells,NA,ZCCHC7,NA,CellTypist,Human,Liver,CL:0002046,"the earliest primitive B cell progenitors which express CD34 and SPINK2, have germline Ig genes and give rise to Pro-B cells"
B_Memory,Memory_B_Cells,NA,AIM2,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory,Memory_B_Cells,NA,BANK1,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory,Memory_B_Cells,NA,CD27,NA,CellTypist,Human,"Blood, Bone marrow, Intestine, Liver, Lung, Lung-draining lymph node, Mesenteric lymph node, Oesophagus, Omentum, Skeletal muscle, Spleen, Thymus",CL:0000787,long-lived mature B lymphocytes which are formed within germinal centers following primary infection and selected for higher-affinity immunoglobulin
B_Memory,Memory_B_Cells,NA,CD79A,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory,Memory_B_Cells,NA,COCH,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory,Memory_B_Cells,NA,CR2,CD21,CellTypist,Human,"Blood, Bone marrow, Intestine, Liver, Lung, Lung-draining lymph node, Mesenteric lymph node, Oesophagus, Omentum, Skeletal muscle, Spleen, Thymus",CL:0000787,long-lived mature B lymphocytes which are formed within germinal centers following primary infection and selected for higher-affinity immunoglobulin
B_Memory,Memory_B_Cells,NA,LINC01781,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory,Memory_B_Cells,NA,MS4A1,CD20,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory,Memory_B_Cells,NA,MS4A1,CD20,CellTypist,Human,"Blood, Bone marrow, Intestine, Liver, Lung, Lung-draining lymph node, Mesenteric lymph node, Oesophagus, Omentum, Skeletal muscle, Spleen, Thymus",CL:0000787,long-lived mature B lymphocytes which are formed within germinal centers following primary infection and selected for higher-affinity immunoglobulin
B_Memory,Memory_B_Cells,NA,RALGPS2,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory,Memory_B_Cells,NA,SSPN,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory,Memory_B_Cells,NA,TEX9,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory,Memory_B_Cells,NA,TNFRSF13C,CD268,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Kappa,Memory_B_Cells_Kappa_Light_Chain,NA,BANK1,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Kappa,Memory_B_Cells_Kappa_Light_Chain,NA,CD79A,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Kappa,Memory_B_Cells_Kappa_Light_Chain,NA,IGKC,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Kappa,Memory_B_Cells_Kappa_Light_Chain,NA,LINC00926,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Kappa,Memory_B_Cells_Kappa_Light_Chain,NA,LINC01781,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Kappa,Memory_B_Cells_Kappa_Light_Chain,NA,MS4A1,CD20,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Kappa,Memory_B_Cells_Kappa_Light_Chain,NA,RALGPS2,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Kappa,Memory_B_Cells_Kappa_Light_Chain,NA,SSPN,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Kappa,Memory_B_Cells_Kappa_Light_Chain,NA,TNFRSF13C,CD268,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Lambda,Memory_B_Cells_Lambda_Light_Chain,NA,BANK1,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Lambda,Memory_B_Cells_Lambda_Light_Chain,NA,BLK,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Lambda,Memory_B_Cells_Lambda_Light_Chain,NA,COCH,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Lambda,Memory_B_Cells_Lambda_Light_Chain,NA,IGHA2,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Lambda,Memory_B_Cells_Lambda_Light_Chain,NA,IGLC2,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Lambda,Memory_B_Cells_Lambda_Light_Chain,NA,IGLC3,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Lambda,Memory_B_Cells_Lambda_Light_Chain,NA,LINC01781,NA,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Lambda,Memory_B_Cells_Lambda_Light_Chain,NA,MS4A1,CD20,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Lambda,Memory_B_Cells_Lambda_Light_Chain,NA,TNFRSF13B,CD267,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Memory_Lambda,Memory_B_Cells_Lambda_Light_Chain,NA,TNFRSF13C,CD268,Azimuth,Human,NA,CL_0000787,Human PBMCs reference
B_Naive,Naive_B_Cells,NA,BTG1,NA,Azimuth,Human,NA,CL_0000788,Human PBMCs reference
B_Naive,Naive_B_Cells,NA,CD79A,NA,Azimuth,Human,NA,CL_0000788,Human PBMCs reference
B_Naive,Naive_B_Cells,NA,CD79B,NA,Azimuth,Human,NA,CL_0000788,Human PBMCs reference
B_Naive,Naive_B_Cells,NA,CXCR4,NA,Azimuth,Human,NA,CL_0000788,Human PBMCs reference
B_Naive,Naive_B_Cells,NA,IGHD,NA,Azimuth,Human,NA,CL_0000788,Human PBMCs reference
